"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"DAM00006190","55.063","14.76","15.8","1987-09-04",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-09-05",,,"62",,
"DAM00006190","55.063","14.76","15.8","1987-09-06",,,"60",,
"DAM00006190","55.063","14.76","15.8","1987-09-07",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-09-08",,,"57",,"54"
"DAM00006190","55.063","14.76","15.8","1987-09-09",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-10",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-11",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-12",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-09-13",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-14",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-15",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-16",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-09-17",,,"51",,
"DAM00006190","55.063","14.76","15.8","1987-09-18",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-09-19",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-09-20",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-09-21",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-09-22",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-09-23",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-09-24",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-09-25",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-09-26",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-09-27",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-09-28",,,"50",,
"DAM00006190","55.063","14.76","15.8","1987-09-29",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-09-30",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-10-01",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-10-02",,,"50",,
"DAM00006190","55.063","14.76","15.8","1987-10-03",,,"50",,
"DAM00006190","55.063","14.76","15.8","1987-10-04",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-10-05",,,"53",,
