"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-28","0.00",,"73","61"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-29","0.00",,"84","63"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-30","0.00",,"81","65"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-01","0.00",,"71","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-02","0.00",,"70","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-03","0.00",,"72","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-04","0.00",,"75","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-05","0.00",,"79","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-06","0.00",,"85","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-07","0.00",,"84","63"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-08","0.02",,"70","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-09","0.00",,"69","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-10","0.00",,"78","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-11","0.00",,"82","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-12","0.00",,"73","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-13","0.00",,"77","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-14","0.02",,"77","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-15","0.37",,"76","64"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-16","0.32",,"71","60"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-17","1.33",,"65","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-18","0.04",,"70","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-19","0.48",,"64","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-20","0.59",,"66","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-21","0.01",,"65","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-22","0.00",,"71","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-23","0.00",,"72","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-24","0.06",,"65","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-25","0.00",,"65","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-26","0.38",,"65","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-27","0.53",,"65","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-28","0.01",,"65","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-29","0.66",,"66","61"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-30","0.03",,"69","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-07-31","0.09",,"74","59"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-01","0.16",,"70","60"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-02","0.15",,"65","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-03","0.09",,"66","60"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-04","0.00",,"67","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-05","0.00",,"64","46"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-06","0.00",,"67","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-07","0.00",,"70","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-08","0.04",,"68","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-09","0.09",,"64","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-10","0.00",,"69","50"
