"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"BE000006447","50.8","4.35","104.0","1987-08-12","0.00",,"71","56"
"BE000006447","50.8","4.35","104.0","1987-08-13","0.00",,"78","58"
"BE000006447","50.8","4.35","104.0","1987-08-14","0.00",,"73","62"
"BE000006447","50.8","4.35","104.0","1987-08-15","0.00",,"72","55"
"BE000006447","50.8","4.35","104.0","1987-08-16","0.00",,"79","56"
"BE000006447","50.8","4.35","104.0","1987-08-17","0.14",,"82","59"
"BE000006447","50.8","4.35","104.0","1987-08-18","0.01",,"74","64"
"BE000006447","50.8","4.35","104.0","1987-08-19","0.00",,"74","60"
"BE000006447","50.8","4.35","104.0","1987-08-20","0.00",,"80","58"
"BE000006447","50.8","4.35","104.0","1987-08-21","0.00",,"87","61"
"BE000006447","50.8","4.35","104.0","1987-08-22","0.05",,"77","66"
"BE000006447","50.8","4.35","104.0","1987-08-23","0.08",,"73","58"
"BE000006447","50.8","4.35","104.0","1987-08-24","0.97",,"67","55"
"BE000006447","50.8","4.35","104.0","1987-08-25","0.72",,"61","58"
"BE000006447","50.8","4.35","104.0","1987-08-26","0.29",,"60","53"
"BE000006447","50.8","4.35","104.0","1987-08-27","0.39",,"58","54"
"BE000006447","50.8","4.35","104.0","1987-08-28","0.01",,"68","55"
"BE000006447","50.8","4.35","104.0","1987-08-29","0.00",,"70","55"
"BE000006447","50.8","4.35","104.0","1987-08-30","0.00",,"71","57"
"BE000006447","50.8","4.35","104.0","1987-08-31","0.00",,"68","54"
"BE000006447","50.8","4.35","104.0","1987-09-01","0.00",,"78","56"
"BE000006447","50.8","4.35","104.0","1987-09-02","0.00",,"69","57"
"BE000006447","50.8","4.35","104.0","1987-09-03","0.02",,"76","61"
"BE000006447","50.8","4.35","104.0","1987-09-04","0.13",,"67","61"
"BE000006447","50.8","4.35","104.0","1987-09-05","0.01",,"65","53"
"BE000006447","50.8","4.35","104.0","1987-09-06","0.03",,"65","54"
"BE000006447","50.8","4.35","104.0","1987-09-07","0.15",,"63","54"
"BE000006447","50.8","4.35","104.0","1987-09-08","0.01",,"66","51"
"BE000006447","50.8","4.35","104.0","1987-09-09","0.00",,"68","51"
"BE000006447","50.8","4.35","104.0","1987-09-10","0.01",,"66","52"
"BE000006447","50.8","4.35","104.0","1987-09-11","0.00",,"67","55"
"BE000006447","50.8","4.35","104.0","1987-09-12","0.01",,"74","55"
"BE000006447","50.8","4.35","104.0","1987-09-13","0.37",,"68","63"
"BE000006447","50.8","4.35","104.0","1987-09-14","0.00",,"67","60"
"BE000006447","50.8","4.35","104.0","1987-09-15","0.00",,"63","52"
"BE000006447","50.8","4.35","104.0","1987-09-16","0.00",,"71","51"
"BE000006447","50.8","4.35","104.0","1987-09-17","0.03",,"80","52"
"BE000006447","50.8","4.35","104.0","1987-09-18","0.00",,"73","63"
"BE000006447","50.8","4.35","104.0","1987-09-19","0.03",,"67","53"
"BE000006447","50.8","4.35","104.0","1987-09-20","0.00",,"77","53"
"BE000006447","50.8","4.35","104.0","1987-09-21","0.00",,"81","61"
"BE000006447","50.8","4.35","104.0","1987-09-22","0.16",,"71","61"
"BE000006447","50.8","4.35","104.0","1987-09-23","0.01",,"66","55"
"BE000006447","50.8","4.35","104.0","1987-09-24","0.18",,"60","54"
"BE000006447","50.8","4.35","104.0","1987-09-25","0.00",,"62","46"
"BE000006447","50.8","4.35","104.0","1987-09-26","0.03",,"60","44"
"BE000006447","50.8","4.35","104.0","1987-09-27","0.00",,"57","43"
"BE000006447","50.8","4.35","104.0","1987-09-28","0.00",,"54","41"
"BE000006447","50.8","4.35","104.0","1987-09-29","0.02",,"59","43"
"BE000006447","50.8","4.35","104.0","1987-09-30","0.00",,"58","43"
"BE000006447","50.8","4.35","104.0","1987-10-01","0.00",,"62","42"
"BE000006447","50.8","4.35","104.0","1987-10-02","0.00",,"63","43"
"BE000006447","50.8","4.35","104.0","1987-10-03","0.00",,"61","43"
"BE000006447","50.8","4.35","104.0","1987-10-04","0.00",,"69","45"
"BE000006447","50.8","4.35","104.0","1987-10-05","0.40",,"69","53"
"BE000006447","50.8","4.35","104.0","1987-10-06","0.44",,"61","58"
"BE000006447","50.8","4.35","104.0","1987-10-07","0.77",,"58","45"
"BE000006447","50.8","4.35","104.0","1987-10-08","0.06",,"53","47"
"BE000006447","50.8","4.35","104.0","1987-10-09","0.00",,"59","43"
"BE000006447","50.8","4.35","104.0","1987-10-10","0.11",,"66","48"
"BE000006447","50.8","4.35","104.0","1987-10-11","0.00",,"55","45"
"BE000006447","50.8","4.35","104.0","1987-10-12","0.01",,"54","44"
"BE000006447","50.8","4.35","104.0","1987-10-13","0.07",,"58","44"
"BE000006447","50.8","4.35","104.0","1987-10-14","0.46",,"56","45"
"BE000006447","50.8","4.35","104.0","1987-10-15","0.55",,"67","46"
"BE000006447","50.8","4.35","104.0","1987-10-16","0.00",,"60","52"
"BE000006447","50.8","4.35","104.0","1987-10-17","0.00",,"60","48"
"BE000006447","50.8","4.35","104.0","1987-10-18","0.00",,"62","46"
"BE000006447","50.8","4.35","104.0","1987-10-19","0.00",,"63","45"
"BE000006447","50.8","4.35","104.0","1987-10-20","0.05",,"62","45"
"BE000006447","50.8","4.35","104.0","1987-10-21","0.11",,"61","53"
"BE000006447","50.8","4.35","104.0","1987-10-22","0.00",,"58","44"
"BE000006447","50.8","4.35","104.0","1987-10-23","0.00",,"51","40"
"BE000006447","50.8","4.35","104.0","1987-10-24","0.00",,"55","42"
"BE000006447","50.8","4.35","104.0","1987-10-25","0.00",,"55","38"
